Plant,Root,Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Common Name,Vegetable,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop
Nicotiana tabacum,Taproot,fibrous,"Annual/perennial herb, up to 2m ","Ovate, 15-30cm long, sticky    ",Pink/white flowers; capsules with seeds,Moderate drought; heat-tolerant,Nicotine content; pest-repellent compounds,Tobacco,0,1,0,1,0,0
Eryngium foetidum,Fibrous,shallow,"Biennial herb, up to 0.5m   ","Rosette, 10-20cm long, spiny   ",Small white flowers; achenes,Drought-tolerant; heat-tolerant,Aromatic leaves; pest resistance,Culantro,1,0,1,0,0,0
Pimenta dioica,Taproot,deep,"Evergreen tree, up to 10m    ","Ovate, 10-20cm long, glossy    ",Small white flowers; berries,Drought-tolerant; tropical,Aromatic berries; wind-resistant,Allspice,0,1,0,0,0,0
Pandanus amaryllifolius,Fibrous,shallow,"Perennial shrub, up to 1.5m ","Linear, 50-80cm long, fragrant ",Small white flowers; drupes,Shade-tolerant; humid tropics,Fragrant leaves; aerial roots,Pandan,1,0,0,0,0,0
Garcinia gummi-gutta,Taproot,deep,"Evergreen tree, up to 10m    ","Elliptic, 10-20cm long, glossy ",Small flowers; berries,Shade-tolerant; humid tropics,Acidic fruit rind; drought resistance,Kokum,0,1,1,1,0,0
Elettaria cardamomum,Rhizomatous,Rhizomatous,"Perennial herb, up to 2m    ","Lanceolate, 30-60cm long       ",White/pale green flowers; capsules,Shade-tolerant; humid tropics,Aromatic seeds; pest-repellent compounds,Green Cardamom,0,1,1,1,0,0
Cinnamomum zeylanicum,Taproot,deep,"Evergreen tree, up to 10m    ","Ovate-lanceolate, 10-20cm long ",Small yellow flowers; berries,Drought-tolerant; tropical,Aromatic bark; insect-repellent oils,Cinnamon,0,1,1,1,0,0
Syzygium aromaticum,Taproot,deep,"Evergreen tree, up to 8m     ","Ovate, 10-15cm long, glossy    ",Red flower buds; berries,Drought-tolerant; tropical,Aromatic flower buds; drought resistance,Clove,0,1,1,1,0,0
Coriandrum sativum,Taproot,shallow,"Annual herb, up to 0.5m     ","Pinnate, 2-10cm long, aromatic ",White/pink flowers; schizocarps,Moderate drought; cool climates,Aromatic seeds; rapid growth,Coriander,0,1,1,1,0,0
Cuminum cyminum,Taproot,shallow,"Annual herb, up to 0.3m     ","Linear, 5-10cm long, aromatic  ",Small white/pink flowers; schizocarps,Drought-tolerant; heat-tolerant,Aromatic seeds; deep root system,Cumin,0,1,1,1,0,0
Capsicum annuum,Fibrous,shallow,"Annual/perennial shrub, up to 1m ","Ovate, 5-15cm long, glossy     ",White flowers; berries,Moderate drought; heat-tolerant,Capsaicin for defense; diverse fruit colors,Bell Pepper,0,1,1,1,0,0
Foeniculum vulgare,Taproot,shallow,"Perennial herb, up to 1.5m  ","Pinnate, 10-20cm long, aromatic",Yellow flowers; schizocarps,Drought-tolerant; heat-tolerant,Aromatic seeds; frost resistance,Fennel,0,1,1,1,0,0
Allium sativum,Bulbous,shallow,"Perennial herb, up to 0.5m  ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils,Moderate drought; cool climates,Sulfur compounds; underground storage,Garlic,1,0,1,1,0,0
Zingiber officinale,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Lanceolate, 15-30cm long       ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Gingerols in rhizomes; pest resistance,Ginger,1,0,1,1,0,0
Curcuma amada,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Mango-like rhizome; medicinal use,Mango Ginger,1,0,1,1,0,0
Myristica fragrans,Taproot,deep,"Evergreen tree, up to 10m    ","Ovate, 10-15cm long, glossy    ",Small yellow flowers; drupes,Shade-tolerant; humid tropics,Aromatic seed/aril; pest-repellent oils,Nutmeg,0,1,1,1,0,0
Piper nigrum,Fibrous,shallow,"Woody climber, up to 6m     ","Ovate, 5-15cm long, glossy     ",Spikes of flowers; drupes,Shade-tolerant; humid tropics,Piperine for defense; symbiotic mycorrhizae,Black Pepper,0,1,1,1,0,0
Mentha spicata,Rhizomatous,Rhizomatous,"Perennial herb, up to 0.6m  ","Lanceolate, 3-9cm long, aromatic",Purple flowers; nutlets,Moderate drought; cool climates,Aromatic oils; rapid regeneration,Spearmint,1,0,1,1,0,0
Brassica nigra,Taproot,shallow,"Annual herb, up to 0.8m     ","Lyre-shaped, 5-15cm long       ",Yellow flowers; siliques with seeds,Moderate drought; cool climates,Glucosinolates; pest-repellent compounds,Black Mustard,0,1,1,1,0,0
Tamarindus indica,Taproot,deep,"Evergreen tree, up to 20m   ","Pinnate, 10-20cm long          ",Small yellow flowers; pods,Drought-tolerant; heat-tolerant,Acidic pods; drought-resistant leaves,Tamarind,0,1,1,1,0,0
Curcuma longa,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Curcumin content; ornamental value,Turmeric,1,0,1,1,0,0
Vanilla planifolia,Fibrous,shallow,"Climbing vine, up to 15m    ","Ovate, 5-12cm long, glossy     ",Greenish-yellow flowers; pods,Shade-tolerant; humid tropics,Vanillin in pods; aerial roots,Vanilla,0,1,0,0,0,0
Vigna mungo,Taproot,deep,"Annual herb, erect up to 0.5m ","Trifoliate, 5-10cm long        ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; drought-resistant seeds,Black gram ,0,1,1,1,0,0
Cicer arietinum,Taproot,deep,"Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long, hairy  ",Pink/white flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; deep roots,Chickpea,0,1,1,1,0,0
Vigna unguiculata,Taproot,deep,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; heat-tolerant foliage,Cowpea,0,1,1,1,0,0
Vigna radiata,Taproot,deep,"Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; quick maturation,Mung Bean,0,1,1,1,0,0
Macrotyloma uniflorum,Taproot,deep,"Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long         ",Pink/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; hard seed coat,Horse Gram,0,1,1,1,0,0
Phaseolus lunatus,Taproot,deep,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",White/purple flowers; pods with seeds,Moderate drought; nitrogen-fixing,Nitrogen fixation; large edible seeds,Lima Bean,0,1,0,0,0,0
Vigna aconitifolia,Taproot,deep,"Annual herb, erect up to 0.4m ","Trifoliate, 3-7cm long         ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; deep root system,Moth Bean,0,1,0,1,0,0
Cajanus cajan,Taproot,deep,"Perennial shrub, up to 2m   ","Trifoliate, 5-15cm long        ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; drought-resistant pods,Pigeon Pea,0,1,1,1,0,0
Vigna umbellata,Taproot,deep,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",Purple flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; edible beans,Rice Bean,0,1,0,0,0,0
Pisum sativum var. arvense,Taproot,deep,"Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds,Cold-tolerant; moderate drought,Nitrogen fixation; cold-resistant growth,Field Pea,0,1,0,1,0,0
Coffea arabica,Taproot,deep,"Evergreen shrub, up to 3m   ","Ovate, 10-15cm long, glossy    ",White fragrant flowers; red cherries,Shade-tolerant; frost-sensitive,Caffeine content; prefers high altitudes,Arabica Coffee,0,1,0,1,0,0
Theobroma cacao,Fibrous,shallow,"Evergreen tree, up to 8m    ","Ovate, 15-30cm long, glossy    ",Small pink/white flowers; pods,Shade-tolerant; humid tropics,Pods on trunk; disease resistance,Cocoa,0,1,0,1,0,0
Coffea liberica,Taproot,deep,"Evergreen shrub, up to 4m   ","Ovate, 15-20cm long, glossy    ",White fragrant flowers; red cherries,Drought-tolerant; heat-tolerant,Large leaves/cherries; low caffeine,Liberica Coffee,0,1,0,1,0,0
Coffea robusta,Taproot,deep,"Evergreen shrub, up to 3m   ","Ovate, 10-15cm long, glossy    ",White fragrant flowers; red cherries,Drought-tolerant; heat-tolerant,High caffeine; disease resistance,Robusta Coffee,0,1,0,1,0,0
Camellia sinensis,Fibrous,deep,"Evergreen shrub, up to 2m   ","Elliptic, 5-10cm long, leathery",White flowers; seeds in capsules,Moderate drought; prefers cool,Tannins for flavor; dense canopy,Tea,0,1,0,1,0,0
Justicia adhatoda,Taproot,deep,"Perennial shrub, up to 2m   ","Ovate, 10-20cm long, hairy     ",White flowers with purple spots; capsules,Drought-tolerant; heat-tolerant,Alkaloids for medicinal use; pest resistance,Malabar Nut,0,1,0,1,0,0
Kaempferia galanga,Rhizomatous,Rhizomatous,"Perennial herb, up to 0.5m  ","Ovate, 10-20cm long, aromatic  ",White/purple flowers; rhizome propagation,Shade-tolerant; humid tropics,Aromatic oils; underground storage,Aromatic Ginger,0,1,1,1,0,0
Curcuma aromatica,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Aromatic rhizomes; pest-repellent compounds,Wild Turmeric,0,1,1,1,0,0
Withania somnifera,Taproot,deep,"Perennial shrub, up to 1m   ","Ovate, 5-10cm long, velvety    ",Small green flowers; red berries,Drought-tolerant; heat-tolerant,Alkaloids (withanolides); drought resistance,Ashwagandha,0,0,1,1,0,0
Saraca asoca,Taproot,deep,"Evergreen tree, up to 10m   ","Pinnate, 15-30cm long          ",Orange/red flowers; pods with seeds,Shade-tolerant; humid tropics,Medicinal bark; seed dormancy,Ashoka Tree,0,0,1,0,1,0
Ayapana triplinervis,Fibrous,shallow,"Perennial herb, up to 0.6m  ","Lanceolate, 5-10cm long, toothed ",Small white flowers; achenes,Moderate drought; heat-tolerant,Aromatic leaves; rapid regeneration,Ayapana,0,0,1,0,0,0
Cardiospermum halicacabum,Fibrous,shallow,"Annual climber, up to 3m    ","Pinnate, 2-5cm long, lobed     ",White flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Climbing habit; medicinal seeds,Balloon Vine,0,0,1,0,1,0
Justicia beddomei,Taproot,fibrous,"Perennial shrub, up to 1.5m ","Ovate, 10-15cm long, hairy     ",White/purple flowers; capsules,Shade-tolerant; humid conditions,Alkaloids; ornamental foliage,Beddome’s Justicia,0,0,1,0,0,0
Senegalia catechu,Taproot,deep,"Deciduous tree, up to 15m   ","Bipinnate, 10-20cm long        ",Small yellow flowers; pods,Drought-tolerant; heat-tolerant,Tannin-rich heartwood; drought resistance,Khair,0,0,1,1,0,0
Curculigo orchioides,Rhizomatous,Rhizomatous,"Perennial herb, up to 0.3m  ","Lanceolate, 10-20cm long       ",Small yellow flowers; berries,Shade-tolerant; humid tropics,Medicinal rhizomes; slow growth,Kali Musli,0,0,1,1,0,0
Solanum nigrum,Taproot,shallow,"Annual herb, up to 1m       ","Ovate, 2-8cm long, lobed       ",White star-shaped flowers; berries,Moderate drought; heat-tolerant,Alkaloids; edible young berries,Black Nightshade,1,0,1,0,0,0
Vitex negundo,Taproot,deep,"Perennial shrub, up to 3m   ","Palmate, 5-10cm wide, aromatic ",Blue/purple flowers; drupes,Drought-tolerant; heat-tolerant,Aromatic leaves; insect-repellent properties,Nirgundi,0,0,1,0,0,0
Cinchona officinalis,Taproot,deep,"Evergreen tree, up to 10m   ","Opposite, 5-15cm long, glossy  ",White/pink flowers; capsules,Shade-tolerant; humid tropics,Quinine in bark; disease resistance,Cinchona,0,0,1,0,0,0
Ruta graveolens,Taproot,fibrous,"Perennial shrub, up to 1m   ","Obovate, 2-5cm long, aromatic  ",Yellow flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Aromatic oils; pest-repellent compounds,Common Rue,0,0,1,0,1,0
Clitoria ternatea,Taproot,fibrous,"Perennial climber, up to 3m ","Ovate, 5-10cm long, glossy     ",Blue/white flowers; pods with seeds,Drought-tolerant; heat-tolerant,Nitrogen fixation; ornamental flowers,Butterfly Pea,0,0,1,0,1,1
Wrightia tinctoria,Taproot,deep,"Deciduous tree, up to 10m   ","Ovate, 5-15cm long, glossy     ",White flowers; follicles with seeds,Drought-tolerant; tropical,Dye from bark; medicinal leaves,Pala Indigo,0,0,1,0,1,0
Holostemma ada-kodien,Fibrous,shallow,"Perennial climber, up to 2m ","Ovate, 5-10cm long, leathery   ",Small purple flowers; follicles,Shade-tolerant; humid tropics,Medicinal latex; climbing habit,Indian Sarsaparilla,0,0,1,0,0,0
Ocimum tenuiflorum,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 2-5cm long, aromatic    ",White/purple flowers; nutlets,Drought-tolerant; heat-tolerant,Aromatic oils; pest-repellent properties,Tulsi,0,0,1,0,1,0
Aloe vera,Fibrous,shallow,"Perennial succulent, up to 1m ","Lanceolate, 30-50cm long, fleshy ",Yellow tubular flowers; offsets,Drought-tolerant; heat-tolerant,Gel storage; water conservation,Aloe vera,0,0,1,0,0,0
Aegle marmelos,Taproot,deep,"Deciduous tree, up to 12m   ","Ovate, 5-15cm long, aromatic   ",Greenish flowers; berries,Drought-tolerant; heat-tolerant,Medicinal fruit; drought-resistant leaves,Bengal Quince,0,1,1,0,0,0
Coleus amboinicus,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, succulent  ",Purple flowers; nutlets,Shade-tolerant; humid conditions,Aromatic leaves; medicinal properties,Indian Borage,1,0,1,0,0,0
Tylophora indica,Fibrous,shallow,"Perennial climber, up to 2m ","Ovate, 5-10cm long, glossy     ",Small purple flowers; follicles,Shade-tolerant; humid tropics,Alkaloids; climbing adaptation,Indian Ipecac,0,0,1,0,0,0
Hemidesmus indicus,Fibrous,deep,"Perennial climber, up to 3m ","Narrow, 5-10cm long, leathery  ",Small green flowers; follicles,Drought-tolerant; heat-tolerant,Root extract for medicine; drought resistance,Indian Sarsaparilla,0,0,1,0,0,0
Coleus zeylanicus,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, aromatic   ",Purple flowers; nutlets,Shade-tolerant; humid conditions,Aromatic oils; medicinal leaves,Ceylon Coleus,0,0,1,0,1,0
Seidenfia rheedii,Fibrous,shallow,"Perennial herb, up to 0.3m  ","Ovate, 5-10cm long, glossy     ",Small flowers; capsules,Shade-tolerant; humid tropics,Medicinal tubers; slow growth,Seidenfia,0,0,1,0,0,0
Piper longum,Fibrous,shallow,"Perennial climber, up to 3m ","Ovate, 5-10cm long, glossy     ",Spikes of flowers; drupes,Shade-tolerant; humid tropics,Piperine for defense; medicinal fruit,Indian Long Pepper,0,0,1,1,0,0
Ipomoea mauritiana,Fibrous,shallow,"Perennial climber, up to 3m ","Cordate, 5-15cm long, glossy   ",Purple flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Milky latex; edible tubers,Railway Creeper,0,0,1,0,0,0
Azadirachta indica,Taproot,deep,"Evergreen tree, up to 15m   ","Pinnate, 20-40cm long          ",White flowers; drupes with seeds,Drought-tolerant; heat-tolerant,Azadirachtin; insect-repellent properties,Neem,0,0,1,1,1,0
Strychnos nux-vomica,Taproot,deep,"Evergreen tree, up to 12m   ","Ovate, 5-10cm long, glossy     ",Small green flowers; berries,Drought-tolerant; tropical,Alkaloids; seed dormancy,Poison Nut Tree,0,0,1,0,0,0
Pajanelia longifolia,Taproot,deep,"Deciduous tree, up to 15m   ","Opposite, 10-20cm long         ",Yellow flowers; capsules with seeds,Drought-tolerant; tropical,Medicinal bark; wood durability,Indian Cork Tree,0,0,1,0,1,0
Kaempferia rotunda,Rhizomatous,Rhizomatous,"Perennial herb, up to 0.5m  ","Ovate, 10-20cm long, aromatic  ",White/purple flowers; rhizome propagation,Shade-tolerant; humid tropics,Aromatic rhizomes; medicinal use,Indian Crocus,0,0,1,1,0,0
Centella asiatica,Fibrous,shallow,"Perennial herb, creeping up to 0.2m ","Orbicular, 1-3cm wide, crenate ",Small pink/white flowers; nutlets,Shade-tolerant; moist soils,Triterpenoids; rapid regeneration,Gotu Kola,1,0,1,0,0,0
Plumbago indica,Taproot,fibrous,"Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",White/pink flowers; capsules,Drought-tolerant; heat-tolerant,Plumbagin compound; pest resistance,Red Leadwort,0,0,0,0,1,0
Trichosanthes dioica,Taproot,shallow,"Perennial vine, up to 4m    ","Palmate, 5-10cm wide, lobed    ",White flowers; pepo fruits,Drought-tolerant; tropical climates,Rapid climbing; edible young fruit,Pointed Gourd,1,0,0,0,0,0
Alpinia purpurata,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.5m  ","Lanceolate, 20-40cm long       ",Red bracts with white flowers; seeds rare,Shade-tolerant; humid tropics,Ornamental bracts; aromatic rhizomes,Red Ginger,0,0,0,0,1,0
Chlorophytum borivilianum,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Linear, 15-30cm long, grassy   ",Small white flowers; tubers,Drought-tolerant; heat-tolerant,Medicinal tubers; drought resistance,Safed Musli,0,0,1,1,0,0
Biancaea sappan,Taproot,deep,"Deciduous tree, up to 10m   ","Bipinnate, 10-20cm long        ",Yellow flowers; pods with seeds,Drought-tolerant; heat-tolerant,Red dye from heartwood; medicinal use,Indian Redwood,0,0,1,1,0,0
Desmodium gangeticum,Taproot,deep,"Perennial herb, up to 1m    ","Trifoliate, 5-10cm long        ",Pink/purple flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; medicinal roots,Salparni,0,0,1,0,0,0
Asparagus racemosus,Fibrous,shallow,"Perennial climber, up to 2m ","Needle-like, 0.5-1cm long      ",Small white flowers; berries,Drought-tolerant; heat-tolerant,Tuberous roots; medicinal properties,Shatavari,0,0,1,0,0,0
Alpinia calcarata,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Lanceolate, 20-40cm long       ",White flowers; seeds rare,Shade-tolerant; humid tropics,Aromatic rhizomes; medicinal use,Heenaratta,0,0,1,1,0,0
Sida alnifolia,Taproot,deep,"Perennial herb, up to 1m    ","Ovate, 2-8cm long, hairy       ",Yellow flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Medicinal roots; pest resistance,Fan-leaved Sida,0,0,1,0,0,0
Phyllanthus fraternus,Fibrous,shallow,"Annual herb, up to 0.5m     ","Ovate, 1-3cm long, glossy      ",Small green flowers; capsules,Moderate drought; heat-tolerant,Stone-breaking compounds; rapid growth,Bhui Amla,0,0,1,0,0,0
Tinospora cordifolia,Fibrous,shallow,"Perennial climber, up to 5m ","Cordate, 5-10cm long, glossy   ",Small yellow flowers; drupes,Drought-tolerant; heat-tolerant,Bitter compounds; climbing adaptation,Giloy,0,0,1,0,0,0
Pergularia daemia,Fibrous,shallow,"Perennial climber, up to 3m ","Ovate, 5-10cm long, hairy      ",Small purple flowers; follicles,Drought-tolerant; heat-tolerant,Milky latex; medicinal uses,White Vine,0,0,1,0,0,0
Bacopa monnieri,Fibrous,shallow,"Perennial herb, creeping up to 0.2m ","Oblong, 1-2cm long, succulent  ",Small white flowers; nutlets,Shade-tolerant; moist soils,Adaptogens; waterlogging tolerance,Brahmi,0,0,1,0,0,0
Abelmoschus esculentus,Fibrous,shallow,"Annual herb, erect up to 2m ","Palmate, 10-20cm wide, lobed    ",Yellow flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Mucilaginous pods; pest resistance,Lady’s Finger,1,0,0,0,0,0
Alocasia macrorrhiza,Rhizomatous,Rhizomatous,"Perennial herb, up to 1.5m  ","Large, arrow-shaped, 30-60cm long ",Spadix with spathe; corms,Shade-tolerant; high humidity,Large leaves for light capture; edible corms,Giant Taro,1,0,0,0,0,0
Amorphophallus campanulatus,Tuberous,deep,"Perennial herb, erect up to 1m ","Large, pinnatifid, 30-50cm wide ",Spadix with spathe; corm propagation,Shade-tolerant; humid tropics,Tuber storage; rapid regrowth,Elephant Foot Yam,1,0,0,0,0,0
Artocarpus heterophyllus,Taproot,deep,"Evergreen tree, up to 20m   ","Large, ovate, 10-30cm long      ",Small male/female flowers; syncarp,Drought-tolerant; tropical,Fruit aroma attracts dispersers; tough fruit,Jackfruit,0,1,0,1,0,0
Artocarpus hirsutus,Taproot,deep,"Evergreen tree, up to 15m   ","Ovate, 10-25cm long, hairy      ",Small male/female flowers; syncarp,Drought-tolerant; tropical,Hard wood; wild fruit adaptation,Wild Jack,0,0,0,1,0,0
Benincasa hispida,Taproot,shallow,"Annual vine, up to 3m       ","Broadly ovate, 10-20cm long     ",Yellow flowers; pepo fruits,Drought-tolerant; heat-tolerant,Waxy fruit coating; long storage,Winter Melon,1,0,0,0,0,0
Cajanus cajan,Taproot,deep,"Perennial shrub, up to 2m   ","Trifoliate, 5-15cm long         ",Yellow flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; drought-resistant pods,Pigeon Pea,1,0,0,0,0,1
Canavalia gladiata,Taproot,deep,"Perennial climber, up to 3m ","Trifoliate, 10-20cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; large edible pods,Sword Bean,1,0,0,0,0,1
Coccinia grandis,Taproot,shallow,"Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed     ",Yellow flowers; pepo fruits,Drought-tolerant; heat-tolerant,Rapid climbing; medicinal fruit,Tindora,1,0,1,0,0,0
Colocasia esculenta,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Large, arrow-shaped, 20-50cm long ",Spadix with spathe; corms,Shade-tolerant; high humidity,Edible corms; waterlogging tolerance,Arbi,1,0,0,0,1,0
Cucumis melo var. acidulus,Taproot,shallow,"Annual vine, up to 2m       ","Palmate, 5-10cm wide, lobed     ",Yellow flowers; pepo fruits,Drought-tolerant; heat-tolerant,Pickling quality; rapid fruiting,Kachri Melon,1,0,0,0,0,0
Cucumis sativus,Taproot,shallow,"Annual vine, up to 2m       ","Palmate, 5-10cm wide, lobed     ",Yellow flowers; pepo fruits,Moderate drought; warm climates,Parthenocarpic potential; quick growth,Cucumber,1,0,0,0,0,0
Curcuma longa,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Curcumin content; ornamental value,Turmeric,0,0,1,1,0,0
Dioscorea bulbifera,Tuberous,deep,"Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; bulbils; seeds rare,Shade-tolerant; humid conditions,Aerial bulbils for propagation,Air Potato,1,0,0,0,0,0
Garcinia cambogia,Taproot,deep,"Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics,Edible fruit; acid extract for cooking,Malabar Tamarind,0,1,1,0,0,0
Garcinia indica,Taproot,deep,"Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics,Kokam fruit for preservation; oil content,Kokum,0,1,1,0,0,0
Garcinia mangostana,Taproot,deep,"Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics,Thick rind protects fruit; sweet pulp,Mangosteen,0,1,0,0,0,0
Garcinia xanthochymus,Taproot,deep,"Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics,Edible fruit; resin production,Gamboge Fruit,0,1,1,0,0,0
Lawsonia inermis,Taproot,deep,"Perennial shrub, up to 2m   ","Ovate, 2-5cm long, glossy       ",Small white flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Dye (henna) from leaves; pest resistance,Henna,0,0,1,0,1,0
Macrotyloma uniflorum,Taproot,deep,"Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long          ",Pink/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; drought-resistant seeds,Horse Gram,1,0,0,0,0,1
Mangifera indica,Taproot,deep,"Evergreen tree, up to 15m   ","Ovate-lanceolate, 10-30cm long  ",Small flowers; drupes; wind-dispersed,Drought-tolerant; tropical,Diverse fruit flavors; pest-resistant bark,Mango,0,1,0,1,0,0
Oryza sativa,Fibrous,shallow,"Annual grass, up to 1.5m    ","Linear-lanceolate, 20-50cm long ",Panicle with spikelets; seeds,Flood-tolerant; tropical climates,Seed dormancy; high yield varieties,Rice,1,0,0,0,0,0
Phaseolus lunatus,Taproot,fibrous,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long         ",White/purple flowers; pods with seeds,Moderate drought; nitrogen-fixing,Nitrogen fixation; large edible seeds,Butter Bean,1,0,0,0,0,0
Phyllanthus emblica,Taproot,deep,"Deciduous tree, up to 10m   ","Simple, 2-10cm long, glossy     ",Small greenish flowers; drupes,Drought-tolerant; tropical,High vitamin C; fruit astringency,Amla,0,1,1,0,0,0
Piper nigrum,Fibrous,shallow,"Woody climber, up to 6m     ","Ovate, 5-15cm long, glossy      ",Spikes of flowers; drupes,Shade-tolerant; humid tropics,Piperine for defense; symbiotic mycorrhizae,Black Pepper,0,0,0,1,0,0
Sesamum indicum,Taproot,shallow,"Annual herb, erect up to 1m ","Ovate-lanceolate, 5-10cm long   ",Tubular flowers; capsules with seeds,Drought-tolerant; heat-tolerant,Oil-rich seeds; drought-resistant,Sesame,0,0,0,1,0,0
Solanum melongena,Fibrous,shallow,"Perennial shrub, up to 1m   ","Ovate, 5-15cm long, lobed       ",Purple flowers; berries with seeds,Drought-tolerant; heat-tolerant,Spines deter herbivores; diverse fruits,Brinjal,1,0,0,0,0,0
Solenostemon parviflorus,Fibrous,shallow,"Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, variegated  ",Small flowers; tubers; seed rare,Shade-tolerant; humid conditions,Edible tubers; ornamental foliage,Indian Coleus,0,0,0,0,1,0
Trichosanthes anguina,Taproot,shallow,"Annual vine, up to 4m       ","Palmate, 5-10cm wide, lobed     ",White flowers; elongated fruits,Drought-tolerant; tropical climates,Rapid climbing; edible young fruit,Snake Gourd,1,0,0,0,0,0
Vanilla planifolia,Fibrous,shallow,"Climbing vine, up to 15m    ","Ovate, 5-12cm long, glossy      ",Greenish-yellow flowers; pods,Shade-tolerant; humid tropics,Vanillin in pods; aerial roots,Vanilla,0,0,0,1,0,0
Vigna umbellata,Taproot,fibrous,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long         ",Purple flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; edible beans,Rice Bean,1,0,0,0,0,1
Vigna unguiculata,Taproot,fibrous,"Annual climber, up to 2m    ","Trifoliate, 5-15cm long         ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing,Nitrogen fixation; drought-resistant pods,Cowpea,1,0,0,0,0,1
Zingiber officinale,Rhizomatous,Rhizomatous,"Perennial herb, up to 1m    ","Lanceolate, 15-30cm long        ",Cone-like spikes; rhizome propagation,Shade-tolerant; humid tropics,Gingerols in rhizomes; underground storage,Ginger,0,0,1,1,0,0
