Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable
Foeniculum vulgare     ,"Taproot, shallow       ","Perennial herb, up to 1.5m  ","Pinnate, 10-20cm long, aromatic",Yellow flowers; schizocarps          ,Drought-tolerant; heat-tolerant   ,Aromatic seeds; frost resistance             ,
Allium sativum         ,"Bulbous, shallow       ","Perennial herb, up to 0.5m  ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils  ,Moderate drought; cool climates   ,Sulfur compounds; underground storage        ,
Zingiber officinale    ,Rhizomatous            ,"Perennial herb, up to 1m    ","Lanceolate, 15-30cm long       ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Gingerols in rhizomes; pest resistance       ,
Curcuma amada          ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Mango-like rhizome; medicinal use            ,
Myristica fragrans     ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Ovate, 10-15cm long, glossy    ",Small yellow flowers; drupes         ,Shade-tolerant; humid tropics     ,Aromatic seed/aril; pest-repellent oils      ,
Piper nigrum           ,"Fibrous, shallow       ","Woody climber, up to 6m     ","Ovate, 5-15cm long, glossy     ",Spikes of flowers; drupes            ,Shade-tolerant; humid tropics     ,Piperine for defense; symbiotic mycorrhizae  ,
Mentha spicata         ,Rhizomatous            ,"Perennial herb, up to 0.6m  ","Lanceolate, 3-9cm long, aromatic",Purple flowers; nutlets             ,Moderate drought; cool climates   ,Aromatic oils; rapid regeneration            ,
Brassica nigra         ,"Taproot, shallow       ","Annual herb, up to 0.8m     ","Lyre-shaped, 5-15cm long       ",Yellow flowers; siliques with seeds  ,Moderate drought; cool climates   ,Glucosinolates; pest-repellent compounds     ,
Tamarindus indica      ,"Taproot, deep          ","Evergreen tree, up to 20m   ","Pinnate, 10-20cm long          ",Small yellow flowers; pods           ,Drought-tolerant; heat-tolerant   ,Acidic pods; drought-resistant leaves        ,
Curcuma longa          ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Curcumin content; ornamental value           ,
Vanilla planifolia     ,"Fibrous, shallow       ","Climbing vine, up to 15m    ","Ovate, 5-12cm long, glossy     ",Greenish-yellow flowers; pods        ,Shade-tolerant; humid tropics     ,Vanillin in pods; aerial roots               ,
Vigna mungo            ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 5-10cm long        ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; drought-resistant seeds   ,
Cicer arietinum        ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long, hairy  ",Pink/white flowers; pods with seeds  ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; deep roots                ,
Vigna unguiculata      ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; heat-tolerant foliage     ,
Vigna radiata          ,"Taproot, fibrous       ","Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; quick maturation          ,
Macrotyloma uniflorum  ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long         ",Pink/white flowers; pods with seeds  ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; hard seed coat            ,
Phaseolus lunatus      ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",White/purple flowers; pods with seeds,Moderate drought; nitrogen-fixing ,Nitrogen fixation; large edible seeds        ,
Vigna aconitifolia     ,"Taproot, fibrous       ","Annual herb, erect up to 0.4m ","Trifoliate, 3-7cm long         ",Yellow flowers; pods with seeds      ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; deep root system          ,
Cajanus cajan          ,"Taproot, fibrous       ","Perennial shrub, up to 2m   ","Trifoliate, 5-15cm long        ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; drought-resistant pods    ,
Vigna umbellata        ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible beans              ,
Pisum sativum var. arvense ,"Taproot, fibrous   ","Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds,Cold-tolerant; moderate drought   ,Nitrogen fixation; cold-resistant growth     ,
Coffea arabica         ,"Taproot, fibrous       ","Evergreen shrub, up to 3m   ","Ovate, 10-15cm long, glossy    ",White fragrant flowers; red cherries  ,Shade-tolerant; frost-sensitive   ,Caffeine content; prefers high altitudes     ,
Theobroma cacao        ,"Fibrous, shallow       ","Evergreen tree, up to 8m    ","Ovate, 15-30cm long, glossy    ",Small pink/white flowers; pods        ,Shade-tolerant; humid tropics     ,Pods on trunk; disease resistance            ,
Coffea liberica        ,"Taproot, fibrous       ","Evergreen shrub, up to 4m   ","Ovate, 15-20cm long, glossy    ",White fragrant flowers; red cherries  ,Drought-tolerant; heat-tolerant   ,Large leaves/cherries; low caffeine          ,
Coffea robusta         ,"Taproot, fibrous       ","Evergreen shrub, up to 3m   ","Ovate, 10-15cm long, glossy    ",White fragrant flowers; red cherries  ,Drought-tolerant; heat-tolerant   ,High caffeine; disease resistance            ,
Camellia sinensis      ,"Fibrous, deep          ","Evergreen shrub, up to 2m   ","Elliptic, 5-10cm long, leathery",White flowers; seeds in capsules      ,Moderate drought; prefers cool    ,Tannins for flavor; dense canopy             ,
Justicia adhatoda      ,"Taproot, fibrous       ","Perennial shrub, up to 2m   ","Ovate, 10-20cm long, hairy     ",White flowers with purple spots; capsules ,Drought-tolerant; heat-tolerant   ,Alkaloids for medicinal use; pest resistance ,
Kaempferia galanga     ,Rhizomatous            ,"Perennial herb, up to 0.5m  ","Ovate, 10-20cm long, aromatic  ",White/purple flowers; rhizome propagation ,Shade-tolerant; humid tropics     ,Aromatic oils; underground storage           ,
Curcuma aromatica      ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Aromatic rhizomes; pest-repellent compounds  ,
Withania somnifera     ,"Taproot, deep          ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, velvety    ",Small green flowers; red berries      ,Drought-tolerant; heat-tolerant   ,Alkaloids (withanolides); drought resistance ,
Saraca asoca           ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Pinnate, 15-30cm long          ",Orange/red flowers; pods with seeds   ,Shade-tolerant; humid tropics     ,Medicinal bark; seed dormancy                ,
Ayapana triplinervis   ,"Fibrous, shallow       ","Perennial herb, up to 0.6m  ","Lanceolate, 5-10cm long, toothed ",Small white flowers; achenes          ,Moderate drought; heat-tolerant   ,Aromatic leaves; rapid regeneration          ,
Cardiospermum halicacabum ,"Fibrous, shallow   ","Annual climber, up to 3m    ","Pinnate, 2-5cm long, lobed     ",White flowers; capsules with seeds    ,Drought-tolerant; heat-tolerant   ,Climbing habit; medicinal seeds              ,
Justicia beddomei      ,"Taproot, fibrous       ","Perennial shrub, up to 1.5m ","Ovate, 10-15cm long, hairy     ",White/purple flowers; capsules        ,Shade-tolerant; humid conditions  ,Alkaloids; ornamental foliage                ,
Senegalia catechu      ,"Taproot, deep          ","Deciduous tree, up to 15m   ","Bipinnate, 10-20cm long        ",Small yellow flowers; pods            ,Drought-tolerant; heat-tolerant   ,Tannin-rich heartwood; drought resistance    ,
Curculigo orchioides   ,Rhizomatous            ,"Perennial herb, up to 0.3m  ","Lanceolate, 10-20cm long       ",Small yellow flowers; berries         ,Shade-tolerant; humid tropics     ,Medicinal rhizomes; slow growth              ,
Solanum nigrum         ,"Taproot, shallow       ","Annual herb, up to 1m       ","Ovate, 2-8cm long, lobed       ",White star-shaped flowers; berries    ,Moderate drought; heat-tolerant   ,Alkaloids; edible young berries              ,
Vitex negundo          ,"Taproot, fibrous       ","Perennial shrub, up to 3m   ","Palmate, 5-10cm wide, aromatic ",Blue/purple flowers; drupes           ,Drought-tolerant; heat-tolerant   ,Aromatic leaves; insect-repellent properties ,
Cinchona officinalis   ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Opposite, 5-15cm long, glossy  ",White/pink flowers; capsules          ,Shade-tolerant; humid tropics     ,Quinine in bark; disease resistance          ,
Ruta graveolens        ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Obovate, 2-5cm long, aromatic  ",Yellow flowers; capsules with seeds   ,Drought-tolerant; heat-tolerant   ,Aromatic oils; pest-repellent compounds      ,
Clitoria ternatea      ,"Taproot, fibrous       ","Perennial climber, up to 3m ","Ovate, 5-10cm long, glossy     ",Blue/white flowers; pods with seeds   ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; ornamental flowers        ,
Wrightia tinctoria     ,"Taproot, deep          ","Deciduous tree, up to 10m   ","Ovate, 5-15cm long, glossy     ",White flowers; follicles with seeds   ,Drought-tolerant; tropical        ,Dye from bark; medicinal leaves              ,
Holostemma ada-kodien  ,"Fibrous, shallow       ","Perennial climber, up to 2m ","Ovate, 5-10cm long, leathery   ",Small purple flowers; follicles       ,Shade-tolerant; humid tropics     ,Medicinal latex; climbing habit              ,
Ocimum tenuiflorum     ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 2-5cm long, aromatic    ",White/purple flowers; nutlets         ,Drought-tolerant; heat-tolerant   ,Aromatic oils; pest-repellent properties     ,
Aloe vera              ,"Fibrous, shallow       ","Perennial succulent, up to 1m ","Lanceolate, 30-50cm long, fleshy ",Yellow tubular flowers; offsets       ,Drought-tolerant; heat-tolerant   ,Gel storage; water conservation              ,
Aegle marmelos         ,"Taproot, deep          ","Deciduous tree, up to 12m   ","Ovate, 5-15cm long, aromatic   ",Greenish flowers; berries             ,Drought-tolerant; heat-tolerant   ,Medicinal fruit; drought-resistant leaves    ,
Coleus amboinicus      ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, succulent  ",Purple flowers; nutlets               ,Shade-tolerant; humid conditions  ,Aromatic leaves; medicinal properties        ,
Tylophora indica       ,"Fibrous, shallow       ","Perennial climber, up to 2m ","Ovate, 5-10cm long, glossy     ",Small purple flowers; follicles       ,Shade-tolerant; humid tropics     ,Alkaloids; climbing adaptation               ,
Hemidesmus indicus     ,"Fibrous, deep          ","Perennial climber, up to 3m ","Narrow, 5-10cm long, leathery  ",Small green flowers; follicles        ,Drought-tolerant; heat-tolerant   ,Root extract for medicine; drought resistance ,
Coleus zeylanicus      ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, aromatic   ",Purple flowers; nutlets               ,Shade-tolerant; humid conditions  ,Aromatic oils; medicinal leaves              ,
Seidenfia rheedii      ,"Fibrous, shallow       ","Perennial herb, up to 0.3m  ","Ovate, 5-10cm long, glossy     ",Small flowers; capsules               ,Shade-tolerant; humid tropics     ,Medicinal tubers; slow growth                ,
Piper longum           ,"Fibrous, shallow       ","Perennial climber, up to 3m ","Ovate, 5-10cm long, glossy     ",Spikes of flowers; drupes             ,Shade-tolerant; humid tropics     ,Piperine for defense; medicinal fruit        ,
Ipomoea mauritiana     ,"Fibrous, shallow       ","Perennial climber, up to 3m ","Cordate, 5-15cm long, glossy   ",Purple flowers; capsules with seeds   ,Drought-tolerant; heat-tolerant   ,Milky latex; edible tubers                   ,
Azadirachta indica     ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Pinnate, 20-40cm long          ",White flowers; drupes with seeds      ,Drought-tolerant; heat-tolerant   ,Azadirachtin; insect-repellent properties    ,
Strychnos nux-vomica   ,"Taproot, deep          ","Evergreen tree, up to 12m   ","Ovate, 5-10cm long, glossy     ",Small green flowers; berries          ,Drought-tolerant; tropical        ,Alkaloids; seed dormancy                     ,
Pajanelia longifolia   ,"Taproot, deep          ","Deciduous tree, up to 15m   ","Opposite, 10-20cm long         ",Yellow flowers; capsules with seeds   ,Drought-tolerant; tropical        ,Medicinal bark; wood durability              ,
Kaempferia rotunda     ,Rhizomatous            ,"Perennial herb, up to 0.5m  ","Ovate, 10-20cm long, aromatic  ",White/purple flowers; rhizome propagation ,Shade-tolerant; humid tropics     ,Aromatic rhizomes; medicinal use             ,
Centella asiatica      ,"Fibrous, shallow       ","Perennial herb, creeping up to 0.2m ","Orbicular, 1-3cm wide, crenate ",Small pink/white flowers; nutlets     ,Shade-tolerant; moist soils       ,Triterpenoids; rapid regeneration            ,
Plumbago indica        ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",White/pink flowers; capsules          ,Drought-tolerant; heat-tolerant   ,Plumbagin compound; pest resistance          ,
Trichosanthes dioica   ,"Taproot, shallow       ","Perennial vine, up to 4m    ","Palmate, 5-10cm wide, lobed    ",White flowers; pepo fruits            ,Drought-tolerant; tropical climates ,Rapid climbing; edible young fruit           ,
Alpinia purpurata      ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Lanceolate, 20-40cm long       ",Red bracts with white flowers; seeds rare ,Shade-tolerant; humid tropics     ,Ornamental bracts; aromatic rhizomes         ,
Chlorophytum borivilianum ,"Fibrous, shallow   ","Perennial herb, up to 0.5m  ","Linear, 15-30cm long, grassy   ",Small white flowers; tubers           ,Drought-tolerant; heat-tolerant   ,Medicinal tubers; drought resistance         ,
Biancaea sappan        ,"Taproot, deep          ","Deciduous tree, up to 10m   ","Bipinnate, 10-20cm long        ",Yellow flowers; pods with seeds       ,Drought-tolerant; heat-tolerant   ,Red dye from heartwood; medicinal use        ,
Desmodium gangeticum   ,"Taproot, fibrous       ","Perennial herb, up to 1m    ","Trifoliate, 5-10cm long        ",Pink/purple flowers; pods with seeds  ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; medicinal roots           ,
Asparagus racemosus    ,"Fibrous, shallow       ","Perennial climber, up to 2m ","Needle-like, 0.5-1cm long      ",Small white flowers; berries          ,Drought-tolerant; heat-tolerant   ,Tuberous roots; medicinal properties         ,
Alpinia calcarata      ,Rhizomatous            ,"Perennial herb, up to 1m    ","Lanceolate, 20-40cm long       ",White flowers; seeds rare             ,Shade-tolerant; humid tropics     ,Aromatic rhizomes; medicinal use             ,
Sida alnifolia         ,"Taproot, fibrous       ","Perennial herb, up to 1m    ","Ovate, 2-8cm long, hairy       ",Yellow flowers; capsules with seeds   ,Drought-tolerant; heat-tolerant   ,Medicinal roots; pest resistance             ,
Phyllanthus fraternus  ,"Fibrous, shallow       ","Annual herb, up to 0.5m     ","Ovate, 1-3cm long, glossy      ",Small green flowers; capsules         ,Moderate drought; heat-tolerant   ,Stone-breaking compounds; rapid growth       ,
Tinospora cordifolia   ,"Fibrous, shallow       ","Perennial climber, up to 5m ","Cordate, 5-10cm long, glossy   ",Small yellow flowers; drupes          ,Drought-tolerant; heat-tolerant   ,Bitter compounds; climbing adaptation        ,
Pergularia daemia      ,"Fibrous, shallow       ","Perennial climber, up to 3m ","Ovate, 5-10cm long, hairy      ",Small purple flowers; follicles       ,Drought-tolerant; heat-tolerant   ,Milky latex; medicinal uses                  ,
Bacopa monnieri        ,"Fibrous, shallow       ","Perennial herb, creeping up to 0.2m ","Oblong, 1-2cm long, succulent  ",Small white flowers; nutlets          ,Shade-tolerant; moist soils       ,Adaptogens; waterlogging tolerance           ,
Abelmoschus esculentus ,"Fibrous, shallow       ","Annual herb, erect up to 2m ","Palmate, 10-20cm wide, lobed    ",Yellow flowers; capsules with seeds  ,Drought-tolerant; heat-tolerant   ,Mucilaginous pods; pest resistance           ,
Alocasia macrorrhiza   ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Large, arrow-shaped, 30-60cm long ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Large leaves for light capture; edible corms  ,
Amorphophallus campanulatus ,"Tuberous, deep    ","Perennial herb, erect up to 1m ","Large, pinnatifid, 30-50cm wide ",Spadix with spathe; corm propagation ,Shade-tolerant; humid tropics     ,Tuber storage; rapid regrowth                ,
Artocarpus heterophyllus ,"Taproot, deep       ","Evergreen tree, up to 20m   ","Large, ovate, 10-30cm long      ",Small male/female flowers; syncarp   ,Drought-tolerant; tropical        ,Fruit aroma attracts dispersers; tough fruit ,
Artocarpus hirsutus    ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-25cm long, hairy      ",Small male/female flowers; syncarp   ,Drought-tolerant; tropical        ,Hard wood; wild fruit adaptation             ,
Benincasa hispida      ,"Taproot, shallow       ","Annual vine, up to 3m       ","Broadly ovate, 10-20cm long     ",Yellow flowers; pepo fruits          ,Drought-tolerant; heat-tolerant   ,Waxy fruit coating; long storage             ,
Cajanus cajan          ,"Taproot, fibrous       ","Perennial shrub, up to 2m   ","Trifoliate, 5-15cm long         ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; drought-resistant pods    ,
Canavalia gladiata     ,"Taproot, fibrous       ","Perennial climber, up to 3m ","Trifoliate, 10-20cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; large edible pods         ,
Coccinia grandis       ,"Taproot, shallow       ","Perennial vine, up to 3m    ","Palmate, 5-10cm wide, lobed     ",Yellow flowers; pepo fruits          ,Drought-tolerant; heat-tolerant   ,Rapid climbing; medicinal fruit              ,
Colocasia esculenta    ,Rhizomatous            ,"Perennial herb, up to 1m    ","Large, arrow-shaped, 20-50cm long ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Edible corms; waterlogging tolerance         ,
Cucumis melo var. acidulus ,"Taproot, shallow  ","Annual vine, up to 2m       ","Palmate, 5-10cm wide, lobed     ",Yellow flowers; pepo fruits          ,Drought-tolerant; heat-tolerant   ,Pickling quality; rapid fruiting             ,
Cucumis sativus        ,"Taproot, shallow       ","Annual vine, up to 2m       ","Palmate, 5-10cm wide, lobed     ",Yellow flowers; pepo fruits          ,Moderate drought; warm climates   ,Parthenocarpic potential; quick growth       ,
Curcuma longa          ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long  ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Curcumin content; ornamental value           ,
Dioscorea bulbifera    ,"Tuberous, deep         ","Perennial climber, up to 10m","Cordate, 10-20cm long, alternate",Small flowers; bulbils; seeds rare   ,Shade-tolerant; humid conditions  ,Aerial bulbils for propagation               ,
Garcinia cambogia      ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics     ,Edible fruit; acid extract for cooking       ,
Garcinia indica        ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics     ,Kokam fruit for preservation; oil content    ,
Garcinia mangostana    ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics     ,Thick rind protects fruit; sweet pulp        ,
Garcinia xanthochymus  ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Elliptic, 10-20cm long, glossy  ",Small flowers; berries; bird-dispersed,Shade-tolerant; humid tropics     ,Edible fruit; resin production               ,
Lawsonia inermis       ,"Taproot, fibrous       ","Perennial shrub, up to 2m   ","Ovate, 2-5cm long, glossy       ",Small white flowers; capsules with seeds ,Drought-tolerant; heat-tolerant   ,Dye (henna) from leaves; pest resistance     ,
Macrotyloma uniflorum  ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long          ",Pink/white flowers; pods with seeds  ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; drought-resistant seeds   ,
Mangifera indica       ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate-lanceolate, 10-30cm long  ",Small flowers; drupes; wind-dispersed,Drought-tolerant; tropical        ,Diverse fruit flavors; pest-resistant bark   ,
Oryza sativa           ,"Fibrous, shallow       ","Annual grass, up to 1.5m    ","Linear-lanceolate, 20-50cm long ",Panicle with spikelets; seeds         ,Flood-tolerant; tropical climates ,Seed dormancy; high yield varieties          ,
Phaseolus lunatus      ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long         ",White/purple flowers; pods with seeds,Moderate drought; nitrogen-fixing ,Nitrogen fixation; large edible seeds        ,
Phyllanthus emblica    ,"Taproot, deep          ","Deciduous tree, up to 10m   ","Simple, 2-10cm long, glossy     ",Small greenish flowers; drupes        ,Drought-tolerant; tropical        ,High vitamin C; fruit astringency            ,
Piper nigrum           ,"Fibrous, shallow       ","Woody climber, up to 6m     ","Ovate, 5-15cm long, glossy      ",Spikes of flowers; drupes             ,Shade-tolerant; humid tropics     ,Piperine for defense; symbiotic mycorrhizae  ,
Sesamum indicum        ,"Taproot, shallow       ","Annual herb, erect up to 1m ","Ovate-lanceolate, 5-10cm long   ",Tubular flowers; capsules with seeds ,Drought-tolerant; heat-tolerant   ,Oil-rich seeds; drought-resistant            ,
Solanum melongena      ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 5-15cm long, lobed       ",Purple flowers; berries with seeds    ,Drought-tolerant; heat-tolerant   ,Spines deter herbivores; diverse fruits      ,
Solenostemon parviflorus ,"Fibrous, shallow   ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, variegated  ",Small flowers; tubers; seed rare      ,Shade-tolerant; humid conditions  ,Edible tubers; ornamental foliage            ,
Trichosanthes anguina  ,"Taproot, shallow       ","Annual vine, up to 4m       ","Palmate, 5-10cm wide, lobed     ",White flowers; elongated fruits       ,Drought-tolerant; tropical climates ,Rapid climbing; edible young fruit           ,
Vanilla planifolia     ,"Fibrous, shallow       ","Climbing vine, up to 15m    ","Ovate, 5-12cm long, glossy      ",Greenish-yellow flowers; pods         ,Shade-tolerant; humid tropics     ,Vanillin in pods; aerial roots               ,
Vigna umbellata        ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long         ",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible beans              ,
Vigna unguiculata      ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long         ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; drought-resistant pods    ,
Zingiber officinale    ,Rhizomatous            ,"Perennial herb, up to 1m    ","Lanceolate, 15-30cm long        ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Gingerols in rhizomes; underground storage   ,
Senna auriculata       ,"Taproot, deep          ","Perennial shrub, up to 3m   ","Pinnate, 5-15cm long, leaflets 6-12 ",Yellow flowers; pods with seeds      ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; medicinal leaves          ,
Sesbania sesban        ,"Fibrous, shallow       ","Perennial shrub, up to 4m   ","Pinnate, 10-20cm long, leaflets 10-20 ",White/pink flowers; pods with seeds  ,Flood-tolerant; nitrogen-fixing   ,Nitrogen fixation; rapid growth              ,
Crotalaria mucronata   ,"Taproot, fibrous       ","Annual herb, erect up to 1.5m ","Pinnate, 5-10cm long, leaflets 3-5 ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; pest-repellent compounds  ,
Sesbania aculeata      ,"Fibrous, shallow       ","Annual herb, erect up to 2m ","Pinnate, 10-15cm long, leaflets 10-20 ",Yellow flowers; pods with seeds      ,Flood-tolerant; saline-tolerant   ,Nitrogen fixation; waterlogging tolerance    ,
Gliricidia maculata    ,"Taproot, deep          ","Perennial tree, up to 10m   ","Pinnate, 15-30cm long, leaflets 10-20 ",Pink/white flowers; pods with seeds  ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; multipurpose wood/leaves  ,
Indigofera tinctoria   ,"Taproot, fibrous       ","Perennial shrub, up to 1.5m ","Pinnate, 5-10cm long, leaflets 7-13 ",Pink/purple flowers; pods with seeds ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; dye production            ,
Sesbania rostrata      ,"Fibrous, shallow       ","Annual herb, erect up to 2m ","Pinnate, 10-15cm long, leaflets 10-20 ",Yellow flowers; pods with seeds      ,Flood-tolerant; nitrogen-fixing   ,Stem nodules for nitrogen fixation           ,
Sesbania aegyptiaca    ,"Fibrous, shallow       ","Annual/perennial shrub, up to 3m ","Pinnate, 10-20cm long, leaflets 10-20 ",Yellow flowers; pods with seeds      ,Flood-tolerant; saline-tolerant   ,Nitrogen fixation; rapid biomass production  ,
Crotalaria juncea      ,"Taproot, fibrous       ","Annual herb, erect up to 2m ","Pinnate, 5-15cm long, leaflets 5-15 ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; high biomass yield        ,
Tephrosia purpurea     ,"Taproot, deep          ","Perennial herb, up to 1m    ","Pinnate, 5-10cm long, leaflets 5-10 ",Pink/purple flowers; pods with seeds ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; insect-repellent compounds,
Azolla pinnata          ,"Fibrous, floating      ","Aquatic fern, up to 2cm thick ","Small, 1-2cm, overlapping, green ",Sporocarps; vegetative spread        ,Flood-tolerant; high humidity     ,Nitrogen fixation; rapid growth on water     ,
Cynodon dactylon        ,"Fibrous, deep          ","Perennial grass, creeping up to 0.3m ","Linear, 2-15cm long, tough     ",Spike-like racemes; seeds            ,Drought-tolerant; heat-tolerant   ,Stolons/rhizomes for spread; grazing resistant ,
Cenchrus ciliaris       ,"Fibrous, deep          ","Perennial grass, tufted up to 1.5m ","Linear, 10-30cm long, hairy    ",Spikes with bristles; seeds          ,Drought-tolerant; heat-tolerant   ,Deep roots; palatable forage                 ,
Calliandra calothyrsus  ,"Taproot, deep          ","Perennial shrub, up to 6m    ","Bipinnate, 10-20cm long, glossy ",Red flower heads; pods with seeds    ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; shade-tolerant            ,
Stylosanthes hamata     ,"Taproot, fibrous       ","Perennial herb, erect up to 0.6m ","Trifoliate, 2-5cm long, hairy  ",Yellow flowers; pods with seeds      ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; seed dormancy             ,
Axonopus compressus     ,"Fibrous, shallow       ","Perennial grass, creeping up to 0.2m ","Linear, 5-15cm long, soft      ",Spike-like racemes; seeds            ,Shade-tolerant; moist soils       ,Dense mat for erosion control                ,
Dactylis glomerata      ,"Fibrous, deep          ","Perennial grass, tufted up to 1.2m ","Linear, 10-40cm long, rough    ",Dense panicles; seeds                ,Cold-tolerant; moderate drought   ,Palatable; high yield in cool climates       ,
Stylosanthes guianensis ,"Taproot, fibrous       ","Perennial herb, erect up to 0.8m ","Trifoliate, 2-6cm long, hairy  ",Yellow flowers; pods with seeds      ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; weed suppression          ,
Brachiaria ruziziensis  ,"Fibrous, deep          ","Perennial grass, tufted up to 1m ","Linear, 10-25cm long, glossy   ",Spike-like racemes; seeds            ,Drought-tolerant; shade-tolerant  ,Rapid regrowth; high biomass                 ,
Pennisetum pedicellatum ,"Fibrous, deep          ","Annual grass, erect up to 1.5m ","Linear, 15-30cm long, hairy    ",Spikes with bristles; seeds          ,Drought-tolerant; heat-tolerant   ,Quick maturation; grazing tolerance          ,
