Plant,Root Type,Stem / Growth Form,Leaf Traits,Reproductive Traits,Stress Tolerance,Special Adaptations,Vegetable,Common Name,Fruit,Medicinal Plant,Commercial Crop,Ornamental Plant,Fodder Crop,Miscellaneous Use
Diospyros kaki         ,"Taproot, deep          ","Deciduous tree, up to 12m   ","Ovate, 10-20cm long, glossy    ",White flowers; berries               ,Cold-tolerant; moderate drought   ,Astringent fruit; late ripening              ,0,Diospyros kaki         ,1,0,0,0,0,0
Punica granatum        ,"Taproot, deep          ","Deciduous shrub/tree, up to 5m ","Obovate, 2-8cm long, glossy    ",Red flowers; berries with seeds      ,Drought-tolerant; heat-tolerant   ,Thick rind; seed dormancy                    ,0,Punica granatum        ,1,0,0,0,0,0
Fragaria ananassa      ,"Fibrous, shallow       ","Perennial herb, up to 0.2m  ","Trifoliate, 5-10cm long        ",White flowers; aggregate fruit       ,Cold-tolerant; moderate drought   ,Runners for spread; early fruiting           ,0,Fragaria ananassa      ,1,0,0,0,0,0
Citrus × sinensis      ,"Taproot, fibrous       ","Evergreen tree, up to 10m   ","Ovate, 10-15cm long, glossy    ",White flowers; hesperidia            ,Moderate drought; heat-tolerant   ,Thick rind; high juice content               ,0,Citrus × sinensis      ,1,0,0,0,0,0
Solanum betaceum       ,"Fibrous, shallow       ","Perennial shrub, up to 3m   ","Ovate, 10-20cm long, lobed     ",Purple flowers; berries              ,Moderate drought; tropical        ,Edible fruit; rapid growth                   ,0,Solanum betaceum       ,1,0,0,0,0,0
Brassica juncea         ,"Taproot, fibrous       ","Annual herb, up to 1m       ","Lyre-shaped, 5-15cm long       ",Yellow flowers; siliques with seeds   ,Moderate drought; cool climates   ,Oil-rich seeds; glucosinolates for defense   ,0,Brassica juncea         ,0,0,0,0,0,0
Cocos nucifera          ,"Fibrous, deep          ","Perennial palm, up to 30m   ","Pinnate, 3-6m long, glossy     ",Small yellow flowers; drupes          ,Drought-tolerant; tropical        ,Sugar-rich sap; tall growth for wind resistance ,0,Cocos nucifera          ,0,0,1,0,0,0
Sesamum indicum         ,"Taproot, shallow       ","Annual herb, erect up to 1m ","Ovate-lanceolate, 5-10cm long  ",Tubular flowers; capsules with seeds ,Drought-tolerant; heat-tolerant   ,Oil-rich seeds; drought-resistant            ,0,Sesamum indicum         ,0,0,1,0,0,0
Arachis hypogaea        ,"Taproot, fibrous       ","Annual herb, prostrate up to 0.5m ","Pinnate, 2-5cm long            ",Yellow flowers; pods underground     ,Drought-tolerant; heat-tolerant   ,Geocarpy; oil-rich pods                     ,0,Arachis hypogaea        ,0,0,1,0,0,0
Ricinus communis        ,"Taproot, deep          ","Perennial shrub, up to 2m   ","Palmate, 10-30cm wide, glossy  ",Red/green flowers; capsules with seeds,Drought-tolerant; heat-tolerant   ,Toxic ricin; oil-rich seeds                 ,0,Ricinus communis        ,0,0,1,0,0,0
Elaeis guineensis       ,"Fibrous, deep          ","Perennial palm, up to 20m   ","Pinnate, 3-5m long, glossy     ",Small yellow flowers; bunches of fruit,Drought-tolerant; tropical        ,Oil-rich fruit bunches; tall canopy         ,0,Elaeis guineensis       ,0,0,0,0,0,0
Glycine max             ,"Taproot, fibrous       ","Annual herb, erect up to 1m ","Trifoliate, 5-10cm long        ",Purple/white flowers; pods with seeds ,Moderate drought; nitrogen-fixing ,Nitrogen fixation; oil-rich seeds           ,0,Glycine max             ,0,0,1,0,0,0
Helianthus annuus       ,"Taproot, deep          ","Annual herb, erect up to 2m ","Ovate, 10-30cm long, rough     ",Yellow ray flowers; achenes           ,Moderate drought; heat-tolerant   ,Oil-rich seeds; heliotropism                 ,0,Helianthus annuus       ,0,0,0,0,0,0
Areca catechu          ,"Fibrous, shallow       ","Perennial palm, up to 15m   ","Pinnate, 30-60cm long, glossy  ",Small yellow flowers; drupes         ,Drought-tolerant; tropical        ,Nut production; tall growth for shade        ,0,Areca catechu          ,0,0,1,0,0,0
Piper betle            ,"Fibrous, shallow       ","Perennial climber, up to 5m ","Ovate, 10-20cm long, glossy    ",Spikes of flowers; drupes            ,Shade-tolerant; humid tropics     ,Aromatic leaves; symbiotic mycorrhizae       ,0,Piper betle            ,0,0,1,0,0,0
Nicotiana tabacum      ,"Taproot, fibrous       ","Annual/perennial herb, up to 2m ","Ovate, 15-30cm long, sticky    ",Pink/white flowers; capsules with seeds ,Moderate drought; heat-tolerant   ,Nicotine content; pest-repellent compounds   ,0,Nicotiana tabacum      ,0,0,1,0,0,0
Eryngium foetidum      ,"Fibrous, shallow       ","Biennial herb, up to 0.5m   ","Rosette, 10-20cm long, spiny   ",Small white flowers; achenes         ,Drought-tolerant; heat-tolerant   ,Aromatic leaves; pest resistance             ,0,Eryngium foetidum      ,0,0,1,0,0,0
Pimenta dioica         ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Ovate, 10-20cm long, glossy    ",Small white flowers; berries         ,Drought-tolerant; tropical        ,Aromatic berries; wind-resistant             ,0,Pimenta dioica         ,0,0,1,0,0,0
Pandanus amaryllifolius ,"Fibrous, shallow       ","Perennial shrub, up to 1.5m ","Linear, 50-80cm long, fragrant ",Small white flowers; drupes          ,Shade-tolerant; humid tropics     ,Fragrant leaves; aerial roots                ,0,Pandanus amaryllifolius ,0,0,1,0,0,0
Garcinia gummi-gutta   ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Elliptic, 10-20cm long, glossy ",Small flowers; berries               ,Shade-tolerant; humid tropics     ,Acidic fruit rind; drought resistance        ,0,Garcinia gummi-gutta   ,0,0,1,0,0,0
Elettaria cardamomum   ,Rhizomatous            ,"Perennial herb, up to 2m    ","Lanceolate, 30-60cm long       ",White/pale green flowers; capsules   ,Shade-tolerant; humid tropics     ,Aromatic seeds; pest-repellent compounds     ,0,Elettaria cardamomum   ,0,0,1,0,0,0
Cinnamomum zeylanicum  ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Ovate-lanceolate, 10-20cm long ",Small yellow flowers; berries        ,Drought-tolerant; tropical        ,Aromatic bark; insect-repellent oils         ,0,Cinnamomum zeylanicum  ,0,0,1,0,0,0
Syzygium aromaticum    ,"Taproot, deep          ","Evergreen tree, up to 8m     ","Ovate, 10-15cm long, glossy    ",Red flower buds; berries             ,Drought-tolerant; tropical        ,Aromatic flower buds; drought resistance     ,0,Syzygium aromaticum    ,0,0,0,0,0,0
Coriandrum sativum     ,"Taproot, shallow       ","Annual herb, up to 0.5m     ","Pinnate, 2-10cm long, aromatic ",White/pink flowers; schizocarps      ,Moderate drought; cool climates   ,Aromatic seeds; rapid growth                 ,0,Coriandrum sativum     ,0,0,1,0,0,0
Cuminum cyminum        ,"Taproot, shallow       ","Annual herb, up to 0.3m     ","Linear, 5-10cm long, aromatic  ",Small white/pink flowers; schizocarps ,Drought-tolerant; heat-tolerant   ,Aromatic seeds; deep root system             ,0,Cuminum cyminum        ,0,0,1,0,0,0
Capsicum annuum        ,"Fibrous, shallow       ","Annual/perennial shrub, up to 1m ","Ovate, 5-15cm long, glossy     ",White flowers; berries               ,Moderate drought; heat-tolerant   ,Capsaicin for defense; diverse fruit colors  ,1,Capsicum annuum        ,0,0,0,0,0,0
Foeniculum vulgare     ,"Taproot, shallow       ","Perennial herb, up to 1.5m  ","Pinnate, 10-20cm long, aromatic",Yellow flowers; schizocarps          ,Drought-tolerant; heat-tolerant   ,Aromatic seeds; frost resistance             ,0,Foeniculum vulgare     ,0,0,1,0,0,0
Allium sativum         ,"Bulbous, shallow       ","Perennial herb, up to 0.5m  ","Linear, 20-50cm long, waxy     ",Small white/purple flowers; bulbils  ,Moderate drought; cool climates   ,Sulfur compounds; underground storage        ,0,Allium sativum         ,0,0,1,0,0,0
Zingiber officinale    ,Rhizomatous            ,"Perennial herb, up to 1m    ","Lanceolate, 15-30cm long       ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Gingerols in rhizomes; pest resistance       ,0,Zingiber officinale    ,0,0,1,0,0,0
Curcuma amada          ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Mango-like rhizome; medicinal use            ,0,Curcuma amada          ,0,0,1,0,0,0
Myristica fragrans     ,"Taproot, deep          ","Evergreen tree, up to 10m    ","Ovate, 10-15cm long, glossy    ",Small yellow flowers; drupes         ,Shade-tolerant; humid tropics     ,Aromatic seed/aril; pest-repellent oils      ,0,Myristica fragrans     ,0,0,1,0,0,0
Piper nigrum           ,"Fibrous, shallow       ","Woody climber, up to 6m     ","Ovate, 5-15cm long, glossy     ",Spikes of flowers; drupes            ,Shade-tolerant; humid tropics     ,Piperine for defense; symbiotic mycorrhizae  ,0,Piper nigrum           ,0,0,1,0,0,0
Mentha spicata         ,Rhizomatous            ,"Perennial herb, up to 0.6m  ","Lanceolate, 3-9cm long, aromatic",Purple flowers; nutlets             ,Moderate drought; cool climates   ,Aromatic oils; rapid regeneration            ,0,Mentha spicata         ,0,0,1,0,0,0
Brassica nigra         ,"Taproot, shallow       ","Annual herb, up to 0.8m     ","Lyre-shaped, 5-15cm long       ",Yellow flowers; siliques with seeds  ,Moderate drought; cool climates   ,Glucosinolates; pest-repellent compounds     ,0,Brassica nigra         ,0,0,1,0,0,0
Tamarindus indica      ,"Taproot, deep          ","Evergreen tree, up to 20m   ","Pinnate, 10-20cm long          ",Small yellow flowers; pods           ,Drought-tolerant; heat-tolerant   ,Acidic pods; drought-resistant leaves        ,0,Tamarindus indica      ,0,0,0,0,0,0
Curcuma longa          ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Curcumin content; ornamental value           ,0,Curcuma longa          ,0,0,1,0,0,0
Vanilla planifolia     ,"Fibrous, shallow       ","Climbing vine, up to 15m    ","Ovate, 5-12cm long, glossy     ",Greenish-yellow flowers; pods        ,Shade-tolerant; humid tropics     ,Vanillin in pods; aerial roots               ,0,Vanilla planifolia     ,0,0,0,0,0,0
Vigna mungo            ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 5-10cm long        ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; drought-resistant seeds   ,0,Vigna mungo            ,0,0,0,0,0,0
Cicer arietinum        ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long, hairy  ",Pink/white flowers; pods with seeds  ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; deep roots                ,0,Cicer arietinum        ,0,0,0,0,0,0
Vigna unguiculata      ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",Purple/white flowers; pods with seeds,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; heat-tolerant foliage     ,0,Vigna unguiculata      ,0,0,0,0,0,0
Vigna radiata          ,"Taproot, fibrous       ","Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; quick maturation          ,0,Vigna radiata          ,0,0,0,0,0,0
Macrotyloma uniflorum  ,"Taproot, fibrous       ","Annual herb, erect up to 0.5m ","Trifoliate, 3-8cm long         ",Pink/white flowers; pods with seeds  ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; hard seed coat            ,0,Macrotyloma uniflorum  ,0,0,0,0,0,0
Phaseolus lunatus      ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",White/purple flowers; pods with seeds,Moderate drought; nitrogen-fixing ,Nitrogen fixation; large edible seeds        ,0,Phaseolus lunatus      ,0,0,0,0,0,0
Vigna aconitifolia     ,"Taproot, fibrous       ","Annual herb, erect up to 0.4m ","Trifoliate, 3-7cm long         ",Yellow flowers; pods with seeds      ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; deep root system          ,0,Vigna aconitifolia     ,0,0,0,0,0,0
Cajanus cajan          ,"Taproot, fibrous       ","Perennial shrub, up to 2m   ","Trifoliate, 5-15cm long        ",Yellow flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; drought-resistant pods    ,0,Cajanus cajan          ,0,0,0,0,0,0
Vigna umbellata        ,"Taproot, fibrous       ","Annual climber, up to 2m    ","Trifoliate, 5-15cm long        ",Purple flowers; pods with seeds      ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; edible beans              ,0,Vigna umbellata        ,0,0,0,0,0,0
Pisum sativum var. arvense ,"Taproot, fibrous   ","Annual herb, erect up to 0.7m ","Trifoliate, 5-10cm long        ",White/purple flowers; pods with seeds,Cold-tolerant; moderate drought   ,Nitrogen fixation; cold-resistant growth     ,1,Pisum sativum var. arvense ,0,0,0,0,0,0
Coffea arabica         ,"Taproot, fibrous       ","Evergreen shrub, up to 3m   ","Ovate, 10-15cm long, glossy    ",White fragrant flowers; red cherries  ,Shade-tolerant; frost-sensitive   ,Caffeine content; prefers high altitudes     ,0,Coffea arabica         ,0,0,0,0,0,0
Theobroma cacao        ,"Fibrous, shallow       ","Evergreen tree, up to 8m    ","Ovate, 15-30cm long, glossy    ",Small pink/white flowers; pods        ,Shade-tolerant; humid tropics     ,Pods on trunk; disease resistance            ,0,Theobroma cacao        ,0,0,0,0,0,0
Coffea liberica        ,"Taproot, fibrous       ","Evergreen shrub, up to 4m   ","Ovate, 15-20cm long, glossy    ",White fragrant flowers; red cherries  ,Drought-tolerant; heat-tolerant   ,Large leaves/cherries; low caffeine          ,0,Coffea liberica        ,0,0,0,0,0,0
Coffea robusta         ,"Taproot, fibrous       ","Evergreen shrub, up to 3m   ","Ovate, 10-15cm long, glossy    ",White fragrant flowers; red cherries  ,Drought-tolerant; heat-tolerant   ,High caffeine; disease resistance            ,0,Coffea robusta         ,0,0,0,0,0,0
Camellia sinensis      ,"Fibrous, deep          ","Evergreen shrub, up to 2m   ","Elliptic, 5-10cm long, leathery",White flowers; seeds in capsules      ,Moderate drought; prefers cool    ,Tannins for flavor; dense canopy             ,0,Camellia sinensis      ,0,0,0,0,0,0
Justicia adhatoda      ,"Taproot, fibrous       ","Perennial shrub, up to 2m   ","Ovate, 10-20cm long, hairy     ",White flowers with purple spots; capsules ,Drought-tolerant; heat-tolerant   ,Alkaloids for medicinal use; pest resistance ,0,Justicia adhatoda      ,0,0,0,0,0,0
Kaempferia galanga     ,Rhizomatous            ,"Perennial herb, up to 0.5m  ","Ovate, 10-20cm long, aromatic  ",White/purple flowers; rhizome propagation ,Shade-tolerant; humid tropics     ,Aromatic oils; underground storage           ,0,Kaempferia galanga     ,0,0,0,0,0,0
Curcuma aromatica      ,Rhizomatous            ,"Perennial herb, up to 1m    ","Ovate-lanceolate, 20-40cm long ",Cone-like spikes; rhizome propagation ,Shade-tolerant; humid tropics     ,Aromatic rhizomes; pest-repellent compounds  ,0,Curcuma aromatica      ,0,0,0,0,0,0
Withania somnifera     ,"Taproot, deep          ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, velvety    ",Small green flowers; red berries      ,Drought-tolerant; heat-tolerant   ,Alkaloids (withanolides); drought resistance ,0,Withania somnifera     ,0,0,0,0,0,0
Saraca asoca           ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Pinnate, 15-30cm long          ",Orange/red flowers; pods with seeds   ,Shade-tolerant; humid tropics     ,Medicinal bark; seed dormancy                ,0,Saraca asoca           ,0,0,0,0,0,0
Ayapana triplinervis   ,"Fibrous, shallow       ","Perennial herb, up to 0.6m  ","Lanceolate, 5-10cm long, toothed ",Small white flowers; achenes          ,Moderate drought; heat-tolerant   ,Aromatic leaves; rapid regeneration          ,0,Ayapana triplinervis   ,0,0,0,0,0,0
Cardiospermum halicacabum ,"Fibrous, shallow   ","Annual climber, up to 3m    ","Pinnate, 2-5cm long, lobed     ",White flowers; capsules with seeds    ,Drought-tolerant; heat-tolerant   ,Climbing habit; medicinal seeds              ,0,Cardiospermum halicacabum ,0,0,0,0,0,0
Justicia beddomei      ,"Taproot, fibrous       ","Perennial shrub, up to 1.5m ","Ovate, 10-15cm long, hairy     ",White/purple flowers; capsules        ,Shade-tolerant; humid conditions  ,Alkaloids; ornamental foliage                ,0,Justicia beddomei      ,0,0,0,0,0,0
Senegalia catechu      ,"Taproot, deep          ","Deciduous tree, up to 15m   ","Bipinnate, 10-20cm long        ",Small yellow flowers; pods            ,Drought-tolerant; heat-tolerant   ,Tannin-rich heartwood; drought resistance    ,0,Senegalia catechu      ,0,0,0,0,0,0
Curculigo orchioides   ,Rhizomatous            ,"Perennial herb, up to 0.3m  ","Lanceolate, 10-20cm long       ",Small yellow flowers; berries         ,Shade-tolerant; humid tropics     ,Medicinal rhizomes; slow growth              ,0,Curculigo orchioides   ,0,0,0,0,0,0
Solanum nigrum         ,"Taproot, shallow       ","Annual herb, up to 1m       ","Ovate, 2-8cm long, lobed       ",White star-shaped flowers; berries    ,Moderate drought; heat-tolerant   ,Alkaloids; edible young berries              ,0,Solanum nigrum         ,0,0,0,0,0,0
Vitex negundo          ,"Taproot, fibrous       ","Perennial shrub, up to 3m   ","Palmate, 5-10cm wide, aromatic ",Blue/purple flowers; drupes           ,Drought-tolerant; heat-tolerant   ,Aromatic leaves; insect-repellent properties ,0,Vitex negundo          ,0,0,0,0,0,0
Cinchona officinalis   ,"Taproot, deep          ","Evergreen tree, up to 10m   ","Opposite, 5-15cm long, glossy  ",White/pink flowers; capsules          ,Shade-tolerant; humid tropics     ,Quinine in bark; disease resistance          ,0,Cinchona officinalis   ,0,0,0,0,0,0
Ruta graveolens        ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Obovate, 2-5cm long, aromatic  ",Yellow flowers; capsules with seeds   ,Drought-tolerant; heat-tolerant   ,Aromatic oils; pest-repellent compounds      ,0,Ruta graveolens        ,0,0,0,0,0,0
Clitoria ternatea      ,"Taproot, fibrous       ","Perennial climber, up to 3m ","Ovate, 5-10cm long, glossy     ",Blue/white flowers; pods with seeds   ,Drought-tolerant; heat-tolerant   ,Nitrogen fixation; ornamental flowers        ,0,Clitoria ternatea      ,0,0,0,0,0,0
Wrightia tinctoria     ,"Taproot, deep          ","Deciduous tree, up to 10m   ","Ovate, 5-15cm long, glossy     ",White flowers; follicles with seeds   ,Drought-tolerant; tropical        ,Dye from bark; medicinal leaves              ,0,Wrightia tinctoria     ,0,0,0,0,0,0
Holostemma ada-kodien  ,"Fibrous, shallow       ","Perennial climber, up to 2m ","Ovate, 5-10cm long, leathery   ",Small purple flowers; follicles       ,Shade-tolerant; humid tropics     ,Medicinal latex; climbing habit              ,0,Holostemma ada-kodien  ,0,0,0,0,0,0
Ocimum tenuiflorum     ,"Fibrous, shallow       ","Perennial shrub, up to 1m   ","Ovate, 2-5cm long, aromatic    ",White/purple flowers; nutlets         ,Drought-tolerant; heat-tolerant   ,Aromatic oils; pest-repellent properties     ,0,Ocimum tenuiflorum     ,0,0,0,0,0,0
Aloe vera              ,"Fibrous, shallow       ","Perennial succulent, up to 1m ","Lanceolate, 30-50cm long, fleshy ",Yellow tubular flowers; offsets       ,Drought-tolerant; heat-tolerant   ,Gel storage; water conservation              ,0,Aloe vera              ,0,0,0,0,0,0
Aegle marmelos         ,"Taproot, deep          ","Deciduous tree, up to 12m   ","Ovate, 5-15cm long, aromatic   ",Greenish flowers; berries             ,Drought-tolerant; heat-tolerant   ,Medicinal fruit; drought-resistant leaves    ,0,Aegle marmelos         ,0,0,0,0,0,0
Coleus amboinicus      ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, succulent  ",Purple flowers; nutlets               ,Shade-tolerant; humid conditions  ,Aromatic leaves; medicinal properties        ,0,Coleus amboinicus      ,0,0,0,0,0,0
Tylophora indica       ,"Fibrous, shallow       ","Perennial climber, up to 2m ","Ovate, 5-10cm long, glossy     ",Small purple flowers; follicles       ,Shade-tolerant; humid tropics     ,Alkaloids; climbing adaptation               ,0,Tylophora indica       ,0,0,0,0,0,0
Hemidesmus indicus     ,"Fibrous, deep          ","Perennial climber, up to 3m ","Narrow, 5-10cm long, leathery  ",Small green flowers; follicles        ,Drought-tolerant; heat-tolerant   ,Root extract for medicine; drought resistance ,0,Hemidesmus indicus     ,0,0,0,0,0,0
Coleus zeylanicus      ,"Fibrous, shallow       ","Perennial herb, up to 0.5m  ","Ovate, 5-10cm long, aromatic   ",Purple flowers; nutlets               ,Shade-tolerant; humid conditions  ,Aromatic oils; medicinal leaves              ,0,Coleus zeylanicus      ,0,0,0,0,0,0
Seidenfia rheedii      ,"Fibrous, shallow       ","Perennial herb, up to 0.3m  ","Ovate, 5-10cm long, glossy     ",Small flowers; capsules               ,Shade-tolerant; humid tropics     ,Medicinal tubers; slow growth                ,0,Seidenfia rheedii      ,0,0,0,0,0,0
Piper longum           ,"Fibrous, shallow       ","Perennial climber, up to 3m ","Ovate, 5-10cm long, glossy     ",Spikes of flowers; drupes             ,Shade-tolerant; humid tropics     ,Piperine for defense; medicinal fruit        ,0,Piper longum           ,0,0,0,0,0,0
Ipomoea mauritiana     ,"Fibrous, shallow       ","Perennial climber, up to 3m ","Cordate, 5-15cm long, glossy   ",Purple flowers; capsules with seeds   ,Drought-tolerant; heat-tolerant   ,Milky latex; edible tubers                   ,0,Ipomoea mauritiana     ,0,0,0,0,0,0
Azadirachta indica     ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Pinnate, 20-40cm long          ",White flowers; drupes with seeds      ,Drought-tolerant; heat-tolerant   ,Azadirachtin; insect-repellent properties    ,0,Azadirachta indica     ,0,0,0,0,0,0
Strychnos nux-vomica   ,"Taproot, deep          ","Evergreen tree, up to 12m   ","Ovate, 5-10cm long, glossy     ",Small green flowers; berries          ,Drought-tolerant; tropical        ,Alkaloids; seed dormancy                     ,0,Strychnos nux-vomica   ,0,0,0,0,0,0
Pajanelia longifolia   ,"Taproot, deep          ","Deciduous tree, up to 15m   ","Opposite, 10-20cm long         ",Yellow flowers; capsules with seeds   ,Drought-tolerant; tropical        ,Medicinal bark; wood durability              ,0,Pajanelia longifolia   ,0,0,0,0,0,0
Kaempferia rotunda     ,Rhizomatous            ,"Perennial herb, up to 0.5m  ","Ovate, 10-20cm long, aromatic  ",White/purple flowers; rhizome propagation ,Shade-tolerant; humid tropics     ,Aromatic rhizomes; medicinal use             ,0,Kaempferia rotunda     ,0,0,0,0,0,0
Centella asiatica      ,"Fibrous, shallow       ","Perennial herb, creeping up to 0.2m ","Orbicular, 1-3cm wide, crenate ",Small pink/white flowers; nutlets     ,Shade-tolerant; moist soils       ,Triterpenoids; rapid regeneration            ,0,Centella asiatica      ,0,0,0,0,0,0
Plumbago indica        ,"Taproot, fibrous       ","Perennial shrub, up to 1m   ","Ovate, 5-10cm long, glossy     ",White/pink flowers; capsules          ,Drought-tolerant; heat-tolerant   ,Plumbagin compound; pest resistance          ,0,Plumbago indica        ,0,0,0,0,0,0
Trichosanthes dioica   ,"Taproot, shallow       ","Perennial vine, up to 4m    ","Palmate, 5-10cm wide, lobed    ",White flowers; pepo fruits            ,Drought-tolerant; tropical climates ,Rapid climbing; edible young fruit           ,0,Trichosanthes dioica   ,0,0,0,0,0,0
Alpinia purpurata      ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Lanceolate, 20-40cm long       ",Red bracts with white flowers; seeds rare ,Shade-tolerant; humid tropics     ,Ornamental bracts; aromatic rhizomes         ,0,Alpinia purpurata      ,0,0,0,0,0,0
Chlorophytum borivilianum ,"Fibrous, shallow   ","Perennial herb, up to 0.5m  ","Linear, 15-30cm long, grassy   ",Small white flowers; tubers           ,Drought-tolerant; heat-tolerant   ,Medicinal tubers; drought resistance         ,0,Chlorophytum borivilianum ,0,0,0,0,0,0
Biancaea sappan        ,"Taproot, deep          ","Deciduous tree, up to 10m   ","Bipinnate, 10-20cm long        ",Yellow flowers; pods with seeds       ,Drought-tolerant; heat-tolerant   ,Red dye from heartwood; medicinal use        ,0,Biancaea sappan        ,0,0,0,0,0,0
Desmodium gangeticum   ,"Taproot, fibrous       ","Perennial herb, up to 1m    ","Trifoliate, 5-10cm long        ",Pink/purple flowers; pods with seeds  ,Drought-tolerant; nitrogen-fixing ,Nitrogen fixation; medicinal roots           ,0,Desmodium gangeticum   ,0,0,0,0,0,0
Asparagus racemosus    ,"Fibrous, shallow       ","Perennial climber, up to 2m ","Needle-like, 0.5-1cm long      ",Small white flowers; berries          ,Drought-tolerant; heat-tolerant   ,Tuberous roots; medicinal properties         ,0,Asparagus racemosus    ,0,0,0,0,0,0
Alpinia calcarata      ,Rhizomatous            ,"Perennial herb, up to 1m    ","Lanceolate, 20-40cm long       ",White flowers; seeds rare             ,Shade-tolerant; humid tropics     ,Aromatic rhizomes; medicinal use             ,0,Alpinia calcarata      ,0,0,0,0,0,0
Sida alnifolia         ,"Taproot, fibrous       ","Perennial herb, up to 1m    ","Ovate, 2-8cm long, hairy       ",Yellow flowers; capsules with seeds   ,Drought-tolerant; heat-tolerant   ,Medicinal roots; pest resistance             ,0,Sida alnifolia         ,0,0,0,0,0,0
Phyllanthus fraternus  ,"Fibrous, shallow       ","Annual herb, up to 0.5m     ","Ovate, 1-3cm long, glossy      ",Small green flowers; capsules         ,Moderate drought; heat-tolerant   ,Stone-breaking compounds; rapid growth       ,0,Phyllanthus fraternus  ,0,0,0,0,0,0
Tinospora cordifolia   ,"Fibrous, shallow       ","Perennial climber, up to 5m ","Cordate, 5-10cm long, glossy   ",Small yellow flowers; drupes          ,Drought-tolerant; heat-tolerant   ,Bitter compounds; climbing adaptation        ,0,Tinospora cordifolia   ,0,0,0,0,0,0
Pergularia daemia      ,"Fibrous, shallow       ","Perennial climber, up to 3m ","Ovate, 5-10cm long, hairy      ",Small purple flowers; follicles       ,Drought-tolerant; heat-tolerant   ,Milky latex; medicinal uses                  ,0,Pergularia daemia      ,0,0,0,0,0,0
Bacopa monnieri        ,"Fibrous, shallow       ","Perennial herb, creeping up to 0.2m ","Oblong, 1-2cm long, succulent  ",Small white flowers; nutlets          ,Shade-tolerant; moist soils       ,Adaptogens; waterlogging tolerance           ,0,Bacopa monnieri        ,0,0,0,0,0,0
Abelmoschus esculentus ,"Fibrous, shallow       ","Annual herb, erect up to 2m ","Palmate, 10-20cm wide, lobed    ",Yellow flowers; capsules with seeds  ,Drought-tolerant; heat-tolerant   ,Mucilaginous pods; pest resistance           ,1,Abelmoschus esculentus ,0,0,0,0,0,0
Alocasia macrorrhiza   ,Rhizomatous            ,"Perennial herb, up to 1.5m  ","Large, arrow-shaped, 30-60cm long ",Spadix with spathe; corms            ,Shade-tolerant; high humidity     ,Large leaves for light capture; edible corms  ,0,Alocasia macrorrhiza   ,0,0,0,0,0,0
Amorphophallus campanulatus ,"Tuberous, deep    ","Perennial herb, erect up to 1m ","Large, pinnatifid, 30-50cm wide ",Spadix with spathe; corm propagation ,Shade-tolerant; humid tropics     ,Tuber storage; rapid regrowth                ,0,Amorphophallus campanulatus ,0,0,0,0,0,0
Artocarpus heterophyllus ,"Taproot, deep       ","Evergreen tree, up to 20m   ","Large, ovate, 10-30cm long      ",Small male/female flowers; syncarp   ,Drought-tolerant; tropical        ,Fruit aroma attracts dispersers; tough fruit ,0,Artocarpus heterophyllus ,1,0,0,0,0,0
Artocarpus hirsutus    ,"Taproot, deep          ","Evergreen tree, up to 15m   ","Ovate, 10-25cm long, hairy      ",Small male/female flowers; syncarp   ,Drought-tolerant; tropical        ,Hard wood; wild fruit adaptation             ,0,Artocarpus hirsutus    ,0,0,0,0,0,0
